,income,age,disability,employment
1067,6,73,0,0
1068,3,66,0,0
1069,10,74,0,0
1070,10,74,0,0
1072,14,85,0,0
1073,11,85,0,0
1074,6,80,0,0
1075,4,73,0,0
1076,8,69,0,0
1077,8,69,0,0
1078,7,79,0,0
1079,7,79,0,0
1080,6,85,0,0
1081,6,85,0,0
1082,10,85,0,0
1083,10,85,0,0
1084,10,64,0,0
1085,11,80,0,0
1086,11,69,0,0
1087,11,69,0,0
1088,15,67,0,0
1089,10,80,0,0
1090,10,80,0,0
1091,5,80,0,0
1092,7,75,0,0
1093,7,73,0,0
1094,5,79,0,0
1095,4,80,0,0
1096,5,85,0,0
1097,5,64,0,0
1098,5,60,0,0
1099,13,79,0,0
1100,13,78,0,0
1101,11,85,0,0
1102,11,85,0,0
1103,9,65,0,1
1104,9,72,0,0
1105,5,22,0,0
1106,15,59,0,0
1107,4,80,0,0
1108,4,79,0,0
1109,3,76,0,0
1110,3,67,0,0
1111,7,80,0,0
1112,7,80,0,0
1113,14,67,0,0
1114,14,70,0,0
1115,11,85,0,0
1116,3,69,1,1
1117,14,78,0,0
1118,6,56,0,0
1119,8,67,0,0
1121,14,67,0,0
1122,7,85,0,0
1123,8,62,0,0
1124,12,70,0,0
1125,6,37,0,0
1128,11,73,0,0
1129,6,80,0,0
1130,6,77,0,0
1131,1,71,0,0
1132,5,74,0,0
1133,13,65,0,0
1134,3,80,1,0
1135,3,85,0,0
1136,5,80,0,0
1137,13,85,0,0
1138,13,74,1,0
1139,14,68,0,0
1140,14,69,0,0
1141,8,78,0,0
1142,8,74,0,0
1143,5,74,0,0
1144,5,65,0,0
1145,3,80,0,0
1146,14,73,0,0
1147,5,66,0,0
1148,7,85,0,0
1149,10,72,0,0
1150,14,69,0,0
1151,14,71,0,0
1152,14,77,0,0
1153,14,75,0,0
1154,14,77,0,0
1155,14,77,0,0
1156,13,74,0,0
1157,14,72,0,0
1158,14,76,0,0
1159,8,65,0,0
1160,9,69,0,0
1161,9,73,0,0
1162,15,61,0,1
1163,8,80,0,0
1164,9,61,0,0
1165,7,75,0,0
1166,7,72,0,0
1167,1,80,0,0
1168,13,68,0,0
1169,13,64,0,0
1170,3,85,0,0
1171,8,61,0,0
1172,14,78,0,0
1173,6,50,0,0
1174,2,59,0,0
1175,10,67,0,0
1176,10,67,0,0
1177,12,45,0,0
1178,8,66,0,0
1179,2,85,0,0
1180,10,85,0,0
1181,8,69,0,0
1182,10,85,0,0
1183,16,67,0,0
1184,16,66,0,0
1185,12,69,0,0
1186,13,67,0,0
1187,12,66,0,0
1188,4,85,0,0
1189,7,72,0,0
1190,9,70,0,0
1191,8,74,0,0
1192,4,64,0,0
1193,13,76,0,0
1194,13,74,0,0
1195,12,80,0,0
1196,9,85,0,0
1197,8,85,0,0
1198,8,80,0,0
1199,11,68,0,0
1200,11,68,0,0
1201,4,76,0,0
1202,4,80,0,0
1203,6,80,0,0
1204,6,80,0,0
1205,13,73,0,0
1206,6,85,0,0
1207,11,85,0,0
1208,16,70,0,0
1209,16,67,0,1
1210,4,70,0,0
1211,8,71,0,0
1212,8,69,0,0
1213,4,79,0,0
1214,16,74,0,0
1215,15,70,0,0
1216,6,68,0,0
1217,6,74,0,0
1218,12,74,0,0
1219,9,76,0,0
1220,9,74,0,0
1221,8,80,0,0
1222,11,68,0,0
1223,9,80,0,0
1224,12,70,0,0
1225,11,80,0,0
1226,11,80,0,0
1227,4,62,0,0
1228,6,77,0,0
1229,7,80,0,0
1230,11,78,0,0
1231,7,85,0,0
1232,6,85,0,0
1233,3,78,0,0
1235,13,59,0,0
1236,9,73,0,0
1237,9,70,0,0
1238,5,59,0,0
1239,5,62,0,0
1240,7,80,0,0
1241,13,75,0,0
1242,13,78,0,0
1243,8,69,0,0
1244,9,68,0,0
1245,9,67,0,0
1246,14,58,0,1
1247,11,63,0,0
1248,15,69,0,0
1249,15,63,0,0
1251,8,62,0,0
1252,5,80,0,0
1253,12,63,0,1
1254,15,58,0,0
1256,10,64,0,0
1257,3,80,0,0
1258,7,68,0,0
1259,7,62,0,0
1260,16,64,0,0
1261,13,57,0,0
1262,16,63,0,0
1263,13,59,0,0
1264,13,59,0,0
1265,14,67,0,0
1266,13,79,0,0
1267,13,80,0,0
1268,8,85,0,0
1269,8,85,0,0
1270,12,64,0,0
1271,7,67,0,0
1272,6,78,0,0
1273,6,77,0,0
1274,15,65,0,0
1275,15,62,0,1
1276,2,80,0,0
1277,13,69,0,0
1278,13,61,0,0
1279,16,57,0,0
1280,8,64,0,0
1281,14,76,0,0
1282,14,67,0,0
1283,13,71,0,0
1284,10,64,0,0
1285,6,85,0,0
1286,6,72,0,0
1287,5,69,0,0
1288,15,55,0,0
1289,15,54,0,0
1290,6,80,0,0
1291,8,78,0,0
1292,8,66,0,1
1293,11,85,0,0
1294,11,79,0,0
1295,16,66,0,0
1296,16,64,0,0
1297,7,80,0,0
1298,9,80,1,0
1299,11,76,0,0
1300,11,72,0,0
1301,1,63,0,0
1302,15,67,0,1
1303,15,63,0,0
1304,13,69,0,0
1305,9,80,0,0
1306,9,80,0,0
1307,15,66,0,0
1308,11,85,0,0
1309,11,79,0,0
1310,6,80,0,0
1311,14,85,0,0
1312,13,80,0,0
1313,13,80,0,0
1314,14,68,0,0
1315,7,80,0,0
1316,7,77,0,0
1317,13,77,0,0
1318,5,73,0,0
1319,5,73,0,0
1320,13,79,0,0
1321,13,74,0,0
1322,7,67,0,0
1323,7,85,0,0
1324,12,69,0,0
1325,12,77,0,0
1326,5,70,0,0
1327,3,85,0,1
1328,10,80,0,0
1329,11,63,0,0
1330,11,63,0,0
1331,12,85,0,0
1332,12,65,0,0
1333,12,64,0,0
1334,4,85,0,0
1335,13,85,0,0
1336,13,85,0,0
1337,9,79,0,0
1339,11,80,0,0
1340,13,75,0,1
1341,14,75,0,0
1342,14,75,0,0
1343,3,68,0,0
1344,13,76,0,0
1345,13,60,0,1
1346,15,55,0,1
1347,14,69,0,0
1348,14,68,0,0
1349,7,72,0,0
1350,7,69,0,0
1351,9,65,1,0
1352,6,76,0,0
1354,8,80,0,0
1355,8,80,0,0
1356,6,70,0,0
1357,6,70,0,0
1358,15,58,0,0
1359,3,80,0,0
1361,8,56,0,0
1362,4,80,0,0
1363,4,72,0,0
1364,4,80,0,0
1365,4,80,0,0
1366,12,61,1,0
1367,8,79,0,0
1368,8,77,0,0
1369,6,85,0,0
1370,11,71,0,0
1371,11,62,0,0
1372,7,76,1,0
1373,9,85,0,0
1374,8,78,0,0
1375,8,80,0,0
1376,16,72,0,0
1377,6,85,0,0
1378,7,63,0,0
1379,7,76,0,0
1380,9,80,0,1
1381,12,57,0,0
1382,3,78,0,0
1383,9,72,0,0
1384,9,71,0,0
1385,14,67,0,0
1386,12,85,0,0
1387,9,73,0,0
1388,9,79,0,0
1389,5,85,0,0
1390,14,79,0,0
1391,11,64,1,0
1392,13,62,0,0
1393,2,85,0,0
1394,2,85,0,0
1395,11,76,0,0
1396,11,73,0,0
1397,13,78,0,0
1398,15,66,0,0
1399,10,74,0,0
1400,15,77,0,0
1401,15,76,0,0
1402,14,65,0,0
